Month,Route Number,Total Miles,Total Weight,House Count,Weight per House
June,RHBS35,42,59310,1523,38.9428759
June,RHBS40,34,45920,979,46.90500511
June,RHBS42,15,31780,1045,30.41148325
June,RHBS43,31,61874,1225,50.50938776
June,RHBU10,50,39496,776,50.89690722
June,RHBU11,25,46040,769,59.86996099
June,RHBU12,38,46386,841,55.15576694
June,RHBU13,57,48300,853,56.62368113
June,RHBU14,61,40220,752,53.48404255
June,RHBU16,55,51780,803,64.48318804
June,RHBU20,32,48180,774,62.24806202
June,RHBU21,39,44460,760,58.5
June,RHBU23,42,53020,1103,48.06890299
June,RHBU25,44,45800,1061,43.16682375
June,RHBU26,61,51240,1031,49.69932105
June,RFBS33,44,30126,1175,25.63914894
June,RFBS34,38,56710,1125,50.40888889
June,RFBS35,23,29220,995,29.36683417
June,RFBS40,59,32400,1507,21.49966821
June,RFBS41,88,45460,880,51.65909091
June,RFBS42,49,56980,961,59.29240375
June,RFBU10,33,35920,830,43.27710843
June,RFBU11,44,49240,1030,47.80582524
June,RFBU13,36,43960,923,47.62730228
June,RFBU14,45,45880,957,47.9414838
June,RFBU15,22,25480,1116,22.83154122
June,RFBU16,43,46140,916,50.37117904
June,RFBU20,49,41660,1459,28.55380398
June,RFBU21,46,42540,1058,40.20793951
June,RFBU22,34,47380,1144,41.41608392
June,RFBU23,47,45280,1091,41.50320807
June,RFBU24,50,38420,856,44.88317757
June,RFBU25,51,43340,914,47.41794311
June,RMAU12,41,38780,983,39.45066124
June,RWAU21,22,20780,837,24.82676225
June,RWAU22,26,22380,1113,20.10781671
June,RWAU23,19,25120,1068,23.52059925
June,RWAU24,27,33440,1518,22.02898551
June,RWAU25,32,20300,1016,19.98031496
June,RWAU26,21,24180,1330,18.18045113
June,RHAS33,43,32880,968,33.96694215
June,RHAS34,16,39330,1246,31.56500803
June,RHAS35,10,12040,1240,9.709677419
June,RHAU16,20,22280,1338,16.65171898
June,RMBS34,9,20020,1003,19.96011964
June,RWBS42,6,21760,1189,18.30109336
June,RMBU16,22,18940,679,27.89396171
June,RHBS34,9,17020,1432,11.88547486
June,RHBU22,22,22460,1103,20.36264733
June,RHBU24,23,28740,1269,22.64775414
July,RTAS33,50,49240,1061,46.40904807
July,RTAS34,48,57700,1129,51.10717449
July,RTAS35,71,74140,1094,67.76965265
July,RTAS40,24,48320,724,66.74033149
July,RTAS41,47,72600,1148,63.24041812
July,RTAS42,47,60080,1056,56.89393939
July,RTAU10,69,52920,776,68.19587629
July,RTAU11,83,52300,843,62.04033215
July,RTAU12,55,42640,761,56.03153745
July,RTAU13,104,53540,1254,42.6953748
July,RTAU14,89,57880,866,66.83602771
July,RTAU15,92,61900,1089,56.84113866
July,RTAU16,126,65660,868,75.64516129
July,RTAU20,50,62460,1025,60.93658537
July,RTAU21,64,57380,1411,40.66619419
July,RTAU22,40,68580,819,83.73626374
July,RTAU23,41,51060,1002,50.95808383
July,RTAU24,73,61000,1003,60.81754736
July,RTAU26,64,59420,798,74.46115288
July,RWAS33,34,84350,1141,73.92638037
July,RWAS34,27,32720,1576,20.76142132
July,RHAS35,33,39177,1240,31.59435484
July,RWAS35,42,45220,1556,29.06169666
July,RWAS40,42,55660,738,75.4200542
July,RWAS41,25,44280,915,48.39344262
July,RWAS42,46,63040,990,63.67676768
July,RWAU10,62,57920,1035,55.96135266
July,RWAU11,72,57760,985,58.63959391
July,RWAU12,74,62366,944,66.06567797
July,RWAU13,75,63260,906,69.82339956
July,RWAU14,83,60860,917,66.36859324
July,RWAU15,79,59400,944,62.92372881
July,RWAU16,148,91960,1034,88.93617021
July,RWAU20,70,65000,990,65.65656566
July,RWAU21,57,53360,837,63.75149343
July,RWAU22,80,70080,1113,62.96495957
July,RWAU23,56,60900,1068,57.02247191
July,RWAU24,63,77240,1518,50.88274045
July,RWAU25,77,58460,1016,57.53937008
July,RWAU26,59,66060,1330,49.66917293
July,RHAS33,42,33060,968,34.15289256
July,RHAS34,37,69480,1246,55.76243981
July,RHAS40,41,59880,555,107.8918919
July,RHAS41,42,60577,1096,55.2709854
July,RHAS43,26,41260,1283,32.15900234
July,RHAU10,100,67646,937,72.19423693
July,RHAU11,65,55580,858,64.77855478
July,RHAU12,55,51926,903,57.50387597
July,RHAU13,89,63180,857,73.72228705
July,RHAU14,80,70360,1122,62.70944742
July,RHAU15,70,66140,1338,49.43198804
July,RHAU20,73,75340,1359,55.43782193
July,RHAU21,58,64580,1076,60.01858736
July,RHAU22,67,74160,1279,57.98279906
July,RHAU23,60,69740,1260,55.34920635
July,RHAU24,72,77280,1095,70.57534247
July,RHAU25,70,72180,1278,56.47887324
July,RHAU26,71,71960,1399,51.43674053
July,RFAS33,19,37540,1016,36.9488189
July,RFAS35,48,54360,1589,34.21019509
July,RFAS41,24,49660,951,52.21871714
July,RFAS42,26,19420,1402,13.85164051
July,RFAS43,54,30220,1125,26.86222222
July,RFAU10,74,41258,1052,39.21863118
July,RFAU12,53,36533,858,42.57925408
July,RFAU13,53,36820,799,46.08260325
July,RFAU15,64,40060,667,60.05997001
July,RFAU16,56,44920,739,60.78484438
July,RFAU20,67,69380,1577,43.99492708
July,RFAU21,49,36700,1717,21.37449039
